,months_as_customer,age,policy_deductable,policy_annual_premium,umbrella_limit,capital-gains,capital-loss,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,total_claim_amount,injury_claim,property_claim,vehicle_claim,policy_csl,insured_sex,insured_education_level,incident_severity,property_damage,police_report_available,fraud_reported,insured_occupation_armed-forces,insured_occupation_craft-repair,insured_occupation_exec-managerial,insured_occupation_farming-fishing,insured_occupation_handlers-cleaners,insured_occupation_machine-op-inspct,insured_occupation_other-service,insured_occupation_priv-house-serv,insured_occupation_prof-specialty,insured_occupation_protective-serv,insured_occupation_sales,insured_occupation_tech-support,insured_occupation_transport-moving,insured_relationship_not-in-family,insured_relationship_other-relative,insured_relationship_own-child,insured_relationship_unmarried,insured_relationship_wife,incident_type_Parked Car,incident_type_Single Vehicle Collision,incident_type_Vehicle Theft,collision_type_NO Collision,collision_type_Rear Collision,collision_type_Side Collision,authorities_contacted_Fire,authorities_contacted_No Authorities Contacted,authorities_contacted_Other,authorities_contacted_Police
10,235,42,500,1253.12,4000000,38400,0,22,1,2,2,87010,7910,15820,63280,1,0,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
11,447,61,2000,1137.16,0,0,-51000,21,3,1,2,114920,17680,17680,79560,1,0,2,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
12,60,23,500,1215.36,3000000,0,0,9,1,1,0,56520,4710,9420,42390,5,1,6,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
13,121,34,1000,936.61,0,52800,-32800,5,1,1,1,7280,1120,1120,5040,1,0,6,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0
14,180,38,2000,1301.13,0,41300,-55500,12,1,0,2,46200,4200,8400,33600,2,0,3,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
15,473,58,2000,1131.4,0,55700,0,12,4,0,0,63120,10520,10520,42080,1,0,6,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
16,70,26,1000,1199.44,5000000,63600,0,0,3,1,2,52110,5790,5790,40530,5,1,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
17,140,31,500,708.64,6000000,53500,0,9,1,0,2,77880,14160,7080,56640,5,1,2,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
18,160,37,500,1374.22,0,45500,-37800,19,1,1,0,72930,6630,13260,53040,5,0,6,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
19,196,39,2000,1475.73,0,57000,-27300,8,3,2,0,60400,6040,6040,48320,5,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
20,460,62,1000,1187.96,4000000,0,0,20,3,1,0,47160,0,5240,41920,2,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
21,217,41,2000,875.15,0,46700,0,15,3,1,2,37840,0,4730,33110,5,0,5,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
22,370,55,2000,972.18,0,72700,-68200,20,3,0,0,71520,17880,5960,47680,1,1,2,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
23,413,55,2000,1268.79,0,0,-31000,15,1,2,2,98160,8180,16360,73620,1,1,6,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
24,237,40,1000,883.31,0,0,-53500,6,1,1,3,77880,7080,14160,56640,1,1,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
25,8,35,2000,1266.92,0,0,0,16,3,1,3,71500,16500,11000,44000,1,1,4,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
26,257,43,2000,1322.1,0,0,-29200,4,1,1,3,9020,1640,820,6560,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
27,202,34,500,848.07,3000000,31000,-30200,5,1,2,1,5720,1040,520,4160,1,1,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
28,224,40,2000,1291.7,0,0,-55600,21,1,1,0,69840,7760,15520,46560,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
29,241,45,2000,1104.5,0,0,0,5,1,2,2,91650,14100,14100,63450,5,0,7,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
30,64,25,1000,954.16,0,53200,0,22,4,0,0,75600,12600,12600,50400,2,1,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31,166,37,2000,1337.28,8000000,27500,0,10,3,2,2,67140,7460,7460,52220,1,1,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
32,155,35,1000,1088.34,0,81100,0,16,3,2,3,29790,3310,3310,23170,5,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
33,114,30,1000,1558.29,0,51400,-64000,1,3,1,2,77110,14020,14020,49070,1,1,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34,149,37,500,1415.68,0,0,0,17,1,0,1,64800,10800,5400,48600,5,1,7,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
35,147,33,1000,1334.15,6000000,53300,-49200,15,1,2,0,53100,10620,5310,37170,1,1,2,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
36,62,28,1000,988.45,0,0,0,3,1,1,1,60200,6020,6020,48160,1,0,4,4,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
37,289,49,2000,1222.48,0,0,0,16,1,1,1,5330,1230,820,3280,5,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
38,431,54,2000,1155.55,0,65700,0,4,3,2,0,62300,12460,6230,43610,5,0,6,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
39,199,37,500,1262.08,0,48500,0,4,1,0,3,60170,10940,10940,38290,2,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
40,79,26,500,1451.62,0,0,-55700,19,1,2,2,40000,8000,4000,28000,1,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
41,116,34,500,1737.66,0,0,-24100,1,1,1,1,97080,16180,16180,64720,2,1,5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
42,37,23,500,1475.93,0,0,-67400,17,3,1,0,51660,5740,5740,40180,5,0,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
43,106,30,500,538.17,0,49700,-60200,23,1,2,2,51120,5680,5680,39760,2,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
44,269,44,2000,1081.08,0,36400,-28700,14,1,0,2,56400,11280,11280,33840,1,1,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
45,265,40,1000,1454.43,0,0,0,17,3,2,3,55120,6890,0,48230,2,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
46,163,33,500,1240.47,0,35300,0,11,3,1,1,77110,0,14020,63090,1,0,5,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
47,355,47,2000,1273.7,4000000,0,0,19,3,2,1,62800,6280,6280,50240,5,1,3,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
48,175,34,1000,1123.87,8000000,0,0,5,1,2,0,7290,810,810,5670,5,0,7,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
49,192,35,1000,1245.89,0,0,-40300,19,1,0,0,76600,15320,7660,53620,1,0,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
50,430,59,2000,1326.62,7000000,0,0,19,3,0,3,81800,16360,8180,57260,2,1,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
51,91,27,2000,1073.83,0,0,0,4,1,1,2,7260,1320,660,5280,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
52,217,39,1000,1530.52,0,0,0,8,1,2,1,4300,430,430,3440,1,1,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
53,223,40,500,1201.41,0,88400,-46500,7,3,1,0,70510,12820,12820,44870,1,0,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
54,195,39,1000,1393.57,0,47600,-39600,5,1,0,1,2640,480,480,1680,2,1,7,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
55,22,26,1000,1276.57,0,71500,0,3,1,1,2,78900,15780,7890,55230,1,1,7,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
56,439,56,500,1082.49,0,36100,-55000,12,3,2,3,56430,0,6270,50160,2,0,7,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
57,94,32,1000,1414.74,0,0,0,19,1,1,3,2400,300,300,1800,5,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
58,11,39,2000,1470.06,0,56600,-45800,22,1,0,1,65790,7310,7310,51170,2,1,7,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
59,151,36,2000,870.63,0,94800,-58500,12,3,1,1,62920,11440,5720,45760,2,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
60,154,34,500,795.23,0,36900,0,15,3,2,1,69480,15440,0,54040,1,1,7,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
61,245,44,1000,1168.2,0,69100,0,23,3,0,3,44280,7380,3690,33210,5,1,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
62,119,32,1000,993.51,0,0,-49500,12,1,0,3,56300,5630,11260,39410,5,1,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
63,215,42,500,1848.81,0,0,-49000,20,3,2,2,68520,11420,5710,51390,5,1,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
64,295,42,2000,1641.73,5000000,62400,0,16,3,0,0,59130,6570,6570,45990,2,1,7,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
65,254,39,500,1362.87,0,35700,0,6,3,2,2,82320,13720,6860,61740,1,0,6,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
66,107,31,500,1239.22,7000000,43400,-91200,12,1,0,1,89700,13800,13800,62100,2,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
67,478,64,500,835.02,0,59600,0,17,3,1,1,33930,0,3770,30160,2,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
68,128,30,1000,1061.33,0,43300,-66200,8,1,0,3,68530,12460,6230,49840,1,1,6,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
69,338,49,1000,1279.08,0,0,-51500,13,1,0,1,4300,860,860,2580,5,1,6,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
70,271,42,500,1105.49,0,56200,-50000,12,2,2,3,68310,12420,6210,49680,1,0,5,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
71,222,41,2000,1055.53,0,37800,-50300,7,1,0,2,61290,6810,6810,47670,1,0,6,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
72,199,41,1000,895.83,0,0,0,10,1,1,2,30100,3010,0,27090,2,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
73,215,37,500,1632.93,0,0,-42900,7,3,2,0,57120,9520,4760,42840,1,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
74,192,40,1000,1405.99,0,0,0,18,3,1,0,42930,9540,4770,28620,1,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
75,120,35,1000,1425.54,0,78300,0,22,3,2,0,51210,11380,5690,34140,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
76,270,45,1000,1038.09,0,0,-19700,18,3,1,1,89400,14900,7450,67050,5,0,3,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
77,319,47,500,1307.11,0,0,0,22,3,0,2,59730,10860,10860,38010,2,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
78,194,39,1000,1489.24,6000000,0,-45000,15,1,2,2,8060,1240,1240,5580,5,0,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
79,227,38,500,976.67,0,0,0,16,1,1,2,72200,14440,7220,50540,5,0,7,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
80,137,31,2000,1340.43,0,52700,-40600,6,3,1,2,50800,10160,10160,30480,2,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
81,244,40,2000,1267.81,5000000,0,0,10,1,2,1,6600,660,1320,4620,5,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
82,78,29,1000,1234.2,6000000,0,0,3,1,2,2,7500,750,1500,5250,2,1,4,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
83,200,35,2000,1318.06,0,57300,-80600,13,1,0,3,6490,1180,1180,4130,2,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
84,284,48,2000,769.95,0,0,-44200,16,2,2,3,60940,5540,11080,44320,5,1,4,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
85,275,41,2000,1514.72,0,35700,0,13,3,0,1,58300,5830,11660,40810,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
86,153,34,1000,873.64,4000000,800,0,9,3,2,1,68400,11400,11400,45600,5,0,5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
87,134,32,500,1612.43,0,36400,0,2,1,2,1,64240,11680,11680,40880,5,0,6,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
88,31,36,2000,1318.24,9000000,0,-78600,9,1,0,1,4700,940,470,3290,5,0,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
89,41,25,1000,1226.83,0,0,-56100,12,3,2,0,45120,0,5640,39480,1,0,3,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
90,127,29,2000,1326.44,5000000,0,0,12,2,1,1,66950,10300,10300,46350,2,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
91,61,23,2000,1136.83,4000000,0,-62400,14,1,0,3,98340,8940,17880,71520,2,0,5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
92,207,42,2000,1322.78,0,55200,0,9,1,0,1,5900,590,590,4720,2,1,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
93,219,43,1000,1483.25,0,90700,-20800,3,3,1,1,70680,5890,11780,53010,1,0,6,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,271,42,500,1515.3,0,0,0,21,3,1,0,93720,17040,8520,68160,1,0,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
95,80,25,2000,1075.18,5000000,67700,-58400,5,1,2,0,6930,1260,630,5040,1,0,7,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
96,325,47,1000,1690.27,0,61500,0,11,1,0,3,72930,6630,6630,59670,5,0,5,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
97,29,25,2000,1352.83,0,0,-71700,4,4,1,2,64890,7210,7210,50470,2,1,4,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
98,295,48,1000,1148.73,0,0,0,6,1,1,2,5400,900,900,3600,2,0,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0
99,239,42,1000,969.5,0,0,0,10,1,0,0,5600,700,700,4200,1,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
100,269,41,500,1463.82,0,0,-72300,23,1,0,0,79300,15860,15860,47580,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
101,80,27,1000,1474.17,0,0,0,13,1,1,0,52800,10560,5280,36960,1,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
102,279,41,500,1497.35,0,37300,-31700,16,3,2,3,28800,0,3600,25200,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
103,165,33,1000,1427.14,0,35300,-58100,3,1,1,1,2970,330,330,2310,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
104,350,54,500,1495.1,0,50500,0,15,3,0,0,93480,15580,7790,70110,5,1,3,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
105,295,49,500,1141.62,0,34300,-24300,4,1,1,3,4320,480,480,3360,1,1,3,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
106,464,61,1000,1125.37,0,0,-56400,6,3,0,2,79800,6650,19950,53200,5,0,5,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
107,118,28,2000,1207.36,0,0,-57000,22,2,1,0,74200,7420,14840,51940,5,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
108,298,47,2000,1338.5,0,28800,0,1,1,0,0,70590,10860,10860,48870,5,0,7,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
109,87,31,1000,1074.07,0,0,-47500,16,3,0,3,60940,5540,11080,44320,5,0,4,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
110,261,42,500,1337.56,0,0,0,18,1,1,2,74700,7470,14940,52290,2,0,3,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
111,453,60,500,1298.91,6000000,52600,-38800,0,1,0,0,70000,14000,7000,49000,1,1,7,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
112,210,41,500,1222.75,0,0,-41000,12,3,2,0,81070,14740,14740,51590,5,1,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
113,168,32,1000,1059.52,0,0,-40600,13,2,1,1,57720,14430,9620,33670,1,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
114,390,51,2000,1124.38,0,0,0,9,1,1,1,7080,1180,1180,4720,2,1,5,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
115,258,46,1000,1110.37,10000000,34400,-56800,14,3,0,1,47700,4770,9540,33390,1,1,6,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
